PDDL domain,PDDL problem,LTLf goal,PDDL2DFA (s),LTLf2DFA (s),Synthesis (s),Runtime (s)
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p1.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p1.ltlf,0.218,0.005,0.196,0.419
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p2.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p2.ltlf,0.234,0.025,1.119,1.378
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p3.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p3.ltlf,0.248,0.014,1.316,1.578
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p4.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p4.ltlf,0.278,0.018,26.074,26.37
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p5.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p5.ltlf,0.279,0.16,234.59,235.029
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p6.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p6.ltlf,0.305,3.71,644.033,648.048
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p7.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p7.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p8.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p8.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p9.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p9.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p10.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p10.ltlf,MEM,MEM,MEM,MEM




