PDDL domain,PDDL problem,LTLf goal,PDDL2DFA (s),LTLf2DFA (s),Synthesis (s),Runtime (s)
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee2.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee2.ltlf,0.245,0.01,0.074,0.329
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee3.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee3.ltlf,0.262,0.011,0.096,0.369
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee4.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee4.ltlf,0.237,0.017,0.275,0.529
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee5.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee5.ltlf,0.229,0.034,0.688,0.951
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee6.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee6.ltlf,0.234,0.045,1.29,1.569
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee7.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee7.ltlf,0.22,0.128,1.705,2.053
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee8.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee8.ltlf,0.228,0.342,7.918,8.488
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee9.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee9.ltlf,0.389,0.889,8.379,9.657
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee10.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee10.ltlf,0.246,1.87,10.344,12.46
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee11.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee11.ltlf,0.254,4.885,31.916,37.055
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee12.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee12.ltlf,0.278,11.538,102.036,113.852
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee13.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee13.ltlf,0.275,32.285,468.488,501.048
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee14.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee14.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee15.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee15.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee16.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee16.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee2.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee2.ltlf,0.123,0.004,0.003,0.13
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee3.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee3.ltlf,0.132,0.008,0.006,0.146
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee4.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee4.ltlf,0.141,0.008,0.012,0.161
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee5.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee5.ltlf,0.139,0.014,0.023,0.176
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee6.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee6.ltlf,0.17,0.014,0.015,0.199
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee7.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee7.ltlf,0.142,0.016,0.03,0.188
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee8.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee8.ltlf,0.141,0.019,0.032,0.192
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee9.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee9.ltlf,0.232,0.024,0.021,0.277
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee10.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee10.ltlf,0.153,0.032,0.05,0.235
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee11.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee11.ltlf,0.176,0.063,0.082,0.321
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee12.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee12.ltlf,0.154,0.051,0.058,0.263
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee13.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee13.ltlf,0.229,0.069,0.07,0.368
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee14.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee14.ltlf,0.157,0.071,0.119,0.347
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee15.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee15.ltlf,0.21,0.126,0.112,0.448
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee16.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee16.ltlf,0.226,0.164,0.086,0.476




