PDDL domain,PDDL problem,LTLf goal,PDDL2DFA (s),LTLf2DFA (s),Synthesis (s),Runtime (s)
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee14.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee14.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee15.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee15.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee16.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee16.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee2.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee2.ltlf,0.124,0.005,0.004,0.133
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee3.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee3.ltlf,0.143,0.007,0.004,0.154
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee4.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee4.ltlf,0.15,0.007,0.011,0.168
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee5.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee5.ltlf,0.145,0.015,0.02,0.18
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee6.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee6.ltlf,0.192,0.012,0.018,0.222
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee7.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee7.ltlf,0.161,0.017,0.035,0.213
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee8.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee8.ltlf,0.209,0.04,0.045,0.294
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee9.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee9.ltlf,0.184,0.039,0.019,0.242
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee10.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee10.ltlf,0.177,0.053,0.039,0.269
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee11.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee11.ltlf,0.211,0.057,0.094,0.362
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee12.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee12.ltlf,0.218,0.087,0.084,0.389
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee13.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee13.ltlf,0.182,0.062,0.067,0.311
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee14.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee14.ltlf,0.209,0.106,0.106,0.421
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee15.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee15.ltlf,0.228,0.146,0.088,0.462
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee16.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee16.ltlf,0.179,0.123,0.134,0.436


